Date,Open,High,Low,Close,Adj Close,Volume
2022-11-04,265.529999,266.609985,259.079987,264.679993,264.047852,78313200
2022-11-07,265.750000,268.140015,263.570007,267.589996,266.950897,47333800
2022-11-08,269.140015,272.850006,265.519989,269.540009,268.896240,63213800
2022-11-09,267.760010,268.559998,263.029999,263.320007,262.691101,64862100
2022-11-10,276.010010,283.049988,273.850006,282.750000,282.074677,99256700
2022-11-11,282.559998,288.640015,281.190002,287.959991,287.272247,66961800
2022-11-14,285.859985,289.209991,284.440002,285.440002,284.758270,55290700
2022-11-15,292.209991,293.260010,285.970001,289.390015,288.698853,73985400
2022-11-16,287.390015,289.480011,284.600006,285.440002,284.758270,48859800
2022-11-17,280.880005,286.320007,280.720001,284.809998,284.129761,55462100
2022-11-18,287.890015,287.989990,282.320007,284.820007,284.139740,53588600
2022-11-21,283.399994,284.579987,281.040009,281.890015,281.216766,40083500
2022-11-22,282.640015,286.109985,280.459991,285.950012,285.267059,41873400
2022-11-23,285.970001,289.459991,285.790009,288.820007,288.130188,46390000
2022-11-25,287.190002,287.910004,286.420013,286.920013,286.234741,15498800
2022-11-28,284.899994,286.959991,281.760010,282.709991,282.034790,38714200
2022-11-29,282.940002,283.350006,279.170013,280.570007,279.899902,35618900
2022-11-30,280.839996,293.470001,279.970001,293.359985,292.659332,74718100
2022-12-01,293.690002,295.750000,290.880005,293.720001,293.018494,51547300
2022-12-02,288.540009,293.450012,288.359985,292.549988,291.851288,53583200
2022-12-05,290.380005,291.679993,286.149994,287.640015,286.953033,41482100
2022-12-06,287.480011,287.619995,280.260010,281.679993,281.007233,53937600
2022-12-07,280.470001,282.570007,278.779999,280.529999,279.859985,45614300
2022-12-08,281.910004,284.839996,279.790009,283.850006,283.172058,42594900
2022-12-09,282.809998,285.640015,281.589996,282.040009,281.366394,47860500
2022-12-12,282.220001,285.640015,281.160004,285.579987,284.897919,35732500
2022-12-13,296.649994,296.880005,285.910004,288.649994,287.960602,80667700
2022-12-14,288.049988,291.410004,283.190002,286.510010,285.825714,64984400
2022-12-15,282.329987,283.010010,275.670013,276.890015,276.228699,60554100
2022-12-16,276.200012,277.769989,272.609985,274.250000,273.595001,68300400
2022-12-19,273.869995,273.959991,268.489990,269.750000,269.750000,44167900
2022-12-20,268.559998,271.320007,266.950012,269.540009,269.540009,51064200
2022-12-21,270.600006,274.779999,269.739990,273.450012,273.450012,46394700
2022-12-22,270.380005,270.510010,262.459991,266.760010,266.760010,60278400
2022-12-23,265.470001,268.040009,263.529999,267.359985,267.359985,39373600
2022-12-27,266.739990,266.850006,263.029999,263.579987,263.579987,38009000
2022-12-28,263.170013,265.470001,259.730011,260.100006,260.100006,47139000
2022-12-29,262.959991,267.399994,262.250000,266.440002,266.440002,45893600
2022-12-30,263.619995,266.410004,262.290009,266.279999,266.279999,37796100
2023-01-03,268.649994,270.149994,262.130005,264.480011,264.480011,42335300
2023-01-04,266.640015,267.450012,262.529999,265.739990,265.739990,47754900
2023-01-05,264.040009,264.209991,261.260010,261.579987,261.579987,45396700
2023-01-06,263.350006,269.940002,260.339996,268.799988,268.799988,54573600
2023-01-09,270.829987,275.290009,269.920013,270.540009,270.540009,45568700
2023-01-10,269.489990,272.940002,268.970001,272.829987,272.829987,35247800
